0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:38 +0530] "GET /CollaborationRestServicesgetBlogByUserid/%7Bself.blog.user%7D HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:39:21 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:39:21 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:39:21 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:39:21 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:39:21 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:39:21 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:32 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:45 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:47 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:47 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:47 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 10694
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:47 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:48 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:42:48 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:43:01 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:43:01 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:43:01 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:43:02 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:43:04 +0530] "GET /CollaborationRestServicesgetBlogByUserid/%7Bself.blog.user%7D HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:45:49 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:06 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:08 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:08 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:08 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 10694
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:08 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:08 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:08 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:23 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:23 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:24 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:24 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:46:27 +0530] "GET /CollaborationRestServicesgetBlogByUserid/%7BuserId:%20self.blog.user%7D HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:48:20 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:48:29 +0530] "GET /CollaborationRestServicesgetBlogByUserid/%7BuserId:%20self.blog.user%7D HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:49:26 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:49:51 +0530] "POST /CollaborationRestServices/getBlogByUserid/23 HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:50:01 +0530] "GET /CollaborationRestServices/getBlogByUserid/23 HTTP/1.1" 500 15678
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:55:43 +0530] "GET /CollaborationRestServices/getBlogByUserid/23 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:39 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:56:59 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1401
